,id,type,gender,sexo,pessoa,idade
40850,48761.0,F,M,2,0,15
40851,48762.0,F,M,2,0,44
40852,48763.0,F,F,1,0,15
40853,48764.0,F,F,1,0,30
40854,48765.0,F,M,2,0,39
40855,48766.0,F,M,2,0,34
40856,48767.0,F,M,2,0,47
40857,48768.0,F,M,2,0,15
40858,48769.0,F,M,2,0,28
40860,48771.0,F,F,1,0,41
40861,48772.0,F,F,1,0,36
40862,48773.0,F,F,1,0,40
40863,48774.0,F,F,1,0,44
40864,48775.0,F,F,1,0,45
40865,48776.0,F,F,1,0,15
40866,48777.0,F,M,2,0,26
40867,48778.0,F,F,1,0,39
40868,48779.0,F,F,1,0,47
40870,48781.0,F,M,2,0,49
40871,48782.0,F,F,1,0,38
40873,48784.0,F,M,2,0,38
40874,48785.0,F,M,2,0,47
40876,48787.0,F,M,2,0,64
40877,48788.0,F,M,2,0,27
40878,48789.0,F,F,1,0,30
40880,48791.0,F,M,2,0,15
40881,48792.0,F,M,2,0,49
40884,48795.0,F,M,2,0,15
40886,48797.0,F,F,1,0,15
40887,48798.0,F,M,2,0,15
40888,48799.0,F,F,1,0,34
40890,48801.0,F,M,2,0,25
40891,48802.0,F,F,1,0,15
40893,48804.0,F,F,1,0,32
40894,48805.0,F,M,2,0,50
40895,48806.0,F,F,1,0,30
40896,48807.0,F,F,1,0,39
40897,48808.0,F,M,2,0,32
40898,48809.0,F,M,2,0,61
40899,48810.0,F,F,1,0,24
40900,48811.0,F,F,1,0,23
40901,48812.0,F,M,2,0,22
40902,48813.0,F,F,1,0,24
40903,48814.0,F,F,1,0,24
40904,48815.0,F,F,1,0,22
40906,48817.0,F,F,1,0,23
40908,48819.0,F,M,2,0,42
40910,48821.0,F,M,2,0,15
40911,48822.0,F,M,2,0,46
40912,48823.0,F,M,2,0,43
40913,48824.0,F,F,1,0,31
40914,48825.0,F,F,1,0,15
40915,48826.0,F,M,2,0,15
40916,48827.0,F,M,2,0,15
40917,48828.0,F,M,2,0,49
40918,48829.0,F,F,1,0,45
40919,48830.0,F,F,1,0,34
40921,48832.0,F,F,1,0,50
40922,48833.0,F,F,1,0,15
40923,48834.0,F,F,1,0,27
40924,48835.0,F,F,1,0,15
40926,48837.0,F,F,1,0,15
40927,48838.0,F,F,1,0,42
40928,48839.0,F,F,1,0,25
40929,48840.0,F,M,2,0,28
40930,48841.0,F,M,2,0,35
40931,48842.0,F,M,2,0,15
40932,48843.0,F,F,1,0,29
40933,48844.0,F,F,1,0,28
40934,48845.0,F,M,2,0,45
40935,48846.0,F,M,2,0,39
40937,48848.0,F,F,1,0,34
40938,48849.0,F,F,1,0,43
40940,48851.0,F,F,1,0,25
40941,48852.0,F,F,1,0,50
40942,48853.0,F,F,1,0,27
40943,48854.0,F,F,1,0,27
40944,48855.0,F,M,2,0,34
40945,48856.0,F,M,2,0,46
40946,48857.0,F,F,1,0,27
40947,48858.0,F,M,2,0,50
40948,48859.0,F,M,2,0,15
40949,48860.0,F,F,1,0,28
40950,48861.0,F,M,2,0,15
40951,48862.0,F,F,1,0,36
40952,48863.0,F,F,1,0,35
40954,48865.0,F,F,1,0,46
40956,48867.0,F,M,2,0,26
40957,48868.0,F,F,1,0,41
40958,48869.0,F,M,2,0,15
40959,48870.0,F,F,1,0,15
40960,48871.0,F,M,2,0,15
40961,48872.0,F,M,2,0,26
40962,48873.0,F,M,2,0,24
40963,48874.0,F,F,1,0,15
40964,48875.0,F,M,2,0,45
40965,48876.0,F,F,1,0,23
40966,48877.0,F,M,2,0,41
40967,48878.0,F,M,2,0,50
40968,48879.0,F,M,2,0,38
40970,48881.0,F,F,1,0,36
40971,48882.0,F,F,1,0,33
40972,48883.0,F,F,1,0,31
40973,48884.0,F,M,2,0,47
40974,48885.0,F,M,2,0,34
40975,48886.0,F,M,2,0,39
40976,48887.0,F,M,2,0,15
40977,48888.0,F,M,2,0,49
40978,48889.0,F,M,2,0,22
40979,48890.0,F,F,1,0,35
40981,48892.0,F,M,2,0,15
40983,48894.0,F,M,2,0,42
40984,48895.0,F,F,1,0,28
40985,48896.0,F,F,1,0,32
40986,48897.0,F,M,2,0,34
40987,48898.0,F,M,2,0,31
40988,48899.0,F,F,1,0,36
40989,48900.0,F,M,2,0,22
40990,48901.0,F,F,1,0,35
40991,48902.0,F,M,2,0,37
40992,48903.0,F,M,2,0,19
40993,48904.0,F,F,1,0,32
40994,48905.0,F,M,2,0,22
40995,48906.0,F,M,2,0,15
40996,48907.0,F,M,2,0,27
40997,48908.0,J,E,0,1,38
40999,48910.0,F,F,1,0,39
41000,48911.0,F,M,2,0,15
41002,48913.0,F,M,2,0,36
41003,48914.0,F,F,1,0,15
41004,48915.0,F,M,2,0,15
41006,48917.0,F,F,1,0,45
41007,48918.0,F,F,1,0,25
41008,48919.0,F,F,1,0,47
41009,48920.0,F,M,2,0,44
41010,48921.0,F,M,2,0,25
41012,48923.0,F,M,2,0,27
41013,48924.0,F,F,1,0,15
41015,48926.0,F,M,2,0,15
41017,48928.0,F,E,0,0,15
41018,48929.0,F,F,1,0,40
41019,48930.0,F,F,1,0,24
41020,48931.0,F,M,2,0,29
41021,48932.0,F,F,1,0,34
41022,48933.0,F,F,1,0,15
41023,48934.0,F,F,1,0,24
41024,48935.0,F,F,1,0,44
41026,48937.0,F,M,2,0,33
41027,48938.0,F,F,1,0,15
41028,48939.0,F,F,1,0,15
41029,48940.0,F,F,1,0,26
41030,48941.0,F,M,2,0,28
41031,48942.0,F,F,1,0,26
41032,48943.0,F,F,1,0,36
41033,48944.0,F,F,1,0,29
41036,48947.0,F,F,1,0,26
41037,48948.0,F,F,1,0,23
41038,48949.0,F,M,2,0,15
41039,48950.0,F,F,1,0,24
41040,48951.0,F,F,1,0,34
41041,48952.0,F,M,2,0,44
41042,48953.0,F,M,2,0,15
41043,48954.0,F,F,1,0,26
41045,48956.0,F,M,2,0,33
41048,48959.0,F,M,2,0,25
41049,48960.0,F,F,1,0,33
41050,48961.0,F,F,1,0,25
41051,48962.0,F,M,2,0,15
41052,48963.0,F,M,2,0,15
41053,48964.0,F,M,2,0,35
41054,48965.0,F,M,2,0,36
41057,48968.0,F,F,1,0,36
41058,48969.0,F,M,2,0,47
41059,48970.0,F,F,1,0,23
41060,48971.0,F,M,2,0,27
41061,48972.0,F,M,2,0,25
41062,48973.0,F,F,1,0,32
41063,48974.0,F,M,2,0,37
41064,48975.0,F,F,1,0,15
41066,48977.0,F,F,1,0,15
41067,48978.0,F,F,1,0,28
41069,48980.0,F,M,2,0,35
41070,48981.0,F,M,2,0,24
41071,48982.0,F,F,1,0,34
41072,48983.0,F,M,2,0,41
41074,48985.0,F,F,1,0,15
41075,48986.0,F,F,1,0,43
41076,48987.0,F,M,2,0,15
41080,48991.0,F,M,2,0,15
41081,48992.0,F,F,1,0,39
